name|line
Margaret| Let's get started. 
Joshua| These steaks are tough and stringy. Like you.
Margaret| Oh, good one, dear.  Hey, after dinner, what do you say we check the ticker-type for new cases?
Joshua| Margaret, you're in a family way now. You should take a backseat from investigations.
Margaret| Oh, come on, Joshua. Even with this ankle-biter, I'm as quick as ever. Sure, my waist is bigger, but that just means more bullets in my ammo belt.
Joshua| You're missing the point, sugar. What if something bad happens? Let's say we're out on the beat, fighting some lowlife. He takes a punch, you zig when you should've zagged, and oops! Junior takes a knock to the noodle, comes out with the shiner the size of a grapefruit. I can't take that kind of guilt and neither can you.
Margaret| I can take care of myself just fine. And besides, these babies  don't come cheap. We need to work together as a team to bring in the bread. 
Joshua|  Yeah, you got me there.
Margaret| Now let's get over to that ticker-type and look for some perps.
Joshua|" You relax, dear, I got it.  Hmm. Let's get a look here. ""Vampire girl spotted in the Grass Lands harassing sheep and cattle."" Nope, nope, nope. ""Small fire goblin burns down Candy Kingdom forest."""
Margaret| Hey, that sounds fun. Let's do that.
Joshua|" Wait, wait, here's one. "" Woman's pies go missing in Bucolic Countryside where nothing ever happens."" The perfect case for my pregnant wife!"
Margaret| What?
Joshua| Now let's get an egg in our shoe and beat it. 
Tree Trunks|  Yes? Hello?
Joshua|  Afternoon, Mrs. Tree Trunks. We're Joshua and Margaret of Joshua and Margaret Investigations. And this is  our boy. We're responding to a wire about missing pies.
Tree Trunks| Oh, yes. A-a-a monster's been stealing my pies off of the windowsill.
Joshua| A monster, eh?
Tree Trunks| Oh, yes, you can see the monster  tracks leading off into the forest.
Joshua| Well, those tracks are as phony as a three dollar bill.
Tree Trunks| The monster tracks are very real.  My husband told me so.  Wyatt!
Wyatt| Aw, aw geez. You got me.
Joshua|  What's the big idea, Wyatt? Why'd you burgle your wife's pie?
Wyatt| Because it's amazing! Oh, I can't get enough of it.
Tree Trunks| You could just ask for seconds.
Wyatt| But I want thirds and fourths! I want to stop when I want to stop!
Tree Trunks| Oh, Wyatt.
Wyatt|  Oh, it's the only good part of my day.
Joshua| Well, there you have it. The only monster here was this man's appetite for his wife's pie.
Tree Trunks| Oh, no. But the monster is real. He snuck up and rubbed my elbow while I was gardening. And Leftenant Candy Corn said it came in through the window and touched him on the chest. Oh! Oh, now I got myself all scared. W-won't you check around to make sure no one is out there?
Joshua| Of course. Probably nothing more than a peeper.  Ha! These country yokels are all just superstitious. I bet you that old elephant sees a monster a day.
Margaret| Joshua, look!  Something way larger than Wyatt made them. These tracks look real.
Joshua| Hot cram! A peeping monster! Oh, this town would surely put up a collection to nab this guy. Oh, too bad you're preggo. We got to pass. 
Margaret| Come on, Joshua! 
Joshua| What? 
Margaret| Ha ha!
Joshua| Margaret! Margaret! Wait for Pappy! 
Margaret| Hmm. The tracks end here.
Joshua|  Hey, hey! Beat it, uggos!  The peeper! 
Margaret| I'll show that peepsie the pepper!  Joshua, dear, I'm stuck!  Joshua! The beast outflanked us! 
Joshua| Gads!  Boom!  Do your worst, you masher.
Margaret| Joshua!  Drop that daddy!  Baby cakes! Oh, this is all my fault!
Joshua| Uh, yeah, pretty much.
Joshua| Ah, good last meal. Okay, well, I got bit by a monster, a creature of the night. We both know what comes next for me.  Just make it snappy, darling.
Margaret|  Don't.  Don't be melodramatic, Joshua.  I've been doing some research. Listen here. I think if we can get a sample of that creature's venom, we can use it to synthesize an antidote.  Joshua?!  Oh! Puddin' Pie!
Joshua|  I'm fine. Just got to pop out and fetch that venom.
Margaret| You're about as fine as a canary in a cat mine!  Oof! Hey, where's the fire, kiddo? You stay put.  So's I can keep tabs on you.  Feel better. Over. 
Joshua|  Come in, Margaret. Do you read me? Over.
Margaret|  I got the peep peep's trail. In pursuit. 
Joshua|" You have to say ""over"" or I think you're still talking. Over."
Margaret|  Joshua, I've stumbled upon the beast's lair.  Just hang on, Honey Bunny. Over.  Stay right there.  What?!  Ooh! Not yet!  Come on, come on!  What? What's your angle, slick? You poison my hubby, then play the innocent?  And what's with all this baby paraphernalia? Wait a tick. Are you a baby?
Monster|  Uh-huh.
Margaret| Oh, no! I must've scared the dickens out of you!  There, there, baby. I'm so sorry... For this!  I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry. ] Joshua, I got the venom!  Ohhh! Uh oh, this baby business is getting SERIOUS!  Joshua!  Ohhh! Ohhh! 
Joshua| Margaret, stay away.  Something's about to happen!
Margaret|  Something's about to happen with me too! 
Joshua| Margaret! .] Shine the light, dear.  Yowzers! 
Puppy Jake|  Hello, daddy.  Hello, mommy.  It's so nice to be here with you now. , Margaret drops the flashlight and the second puppy moves a lot - and that is how Jake's little brother Jermaine came to the world...]
Joshua| Boy, Jake left a scar on my head the size of a nickel. I'll have to wear a hat now, Margaret.
Margaret|  Well, I think you'll look good in one.  Are you sure having him next to Jermaine is safe? We don't even know what he is. 
Joshua| Of course we do, dear. He's our boy.
Margaret| That he is.
Joshua| Yes, we've got one boy that I gave birth to and one boy that you gave birth to. Let's never tell him how it happened.
Margaret| Agreed.
Jake| And so they never told me.
Finn| Never told you what?
Jake| I don't know. They never told me. Ha!
Nurse Pound Cake|  What's her condition, Dr. Ice Cream?
Dr. Ice Cream|  She's totally gross over 90% of her body. The other 10% is crazy nasty.
Nurse Pound Cake|  Will she make it, Doctor?
Dr. Ice Cream|   I don't know, Nurse Pound Cake.  Put sugar on 'er! Two scoops!  We're losing 'er!!
Ice King|  No! Not my number one! Princess, if you die on me, I will never forgive you! I'll be lost—lost in my own emotional labyri—
Finn|   YAAAAAH!!
Dr. Ice Cream|  Wait, Finn!
Finn|   What!?
Dr. Ice Cream|  Her sugar levels are stabilizing.
Princess Bubblegum|   Yes, I'm fine. I just need to rest.
Ice King|   Oh, my wife! Is there anything weird about her? I can't see through these pain tears!
Dr. Ice Cream|  She's fine. Why?
Ice King|  It's just that... after Princess fell into the well, I saw something strange happen. Something I still don't understand.  Ooh—AGH! Wait! Listen to me!!
Finn|  NO! Just shut your mouth, old man!
Ice King|"  ""Old man?"" Heh! What? I'm not old."
Jake|  Uh, yeah, you are, dude.
Ice King|  Old? I'm... I see. It's all making sense now. Brrrrapapo!  I'm going, Princess. I'm sorry if my skin grossed you out. Nobody wants to see this old skin, I guess.  Nobody in the world.
Finn|   JUST GET OUT OF HERE!!
Ice King|  Peace.
Finn|  Sorry about that, Peebles.
Princess Bubblegum|  The ice wizard is a weak fool....
Jake|  Huh?
Raggedy Princess|   Finn! Finn! The other princesses and I made you a new backpack!
Finn|  Whoa, Raggedy Princess! It's so awesome! Thank you.
Raggedy Princess|   You're welcome, Finn! 
Jake|   You look like sick, grey meat, but we're gonna jack you up so awesome.
Finn|  We should wheel 'er to her bedroom, right?
Jake|  Yeah, man, and then we'll do magic tricks.
Finn|  Like fake magic?
Jake|  Yeah, like  bruh bruh bruh, bruh...
Finn and Jake|  Princess... Princess...  Surprise!
Finn|  We picked every flower in the Candy Kingdom just for you! 
Jake|  Whoo-oo!
Finn|  Princess Bubblegum?
Jake|  Oh, jeez!!  What's wrong with Princess Bubblegum?!
Finn|   Quiet, dude. We're supposed to take care of her, not make her feel bad!
Jake|  I know, man, but she just seems... weird.
Finn|  She's just messed up from the accident, man. We just have to take care of her 'til she feels better.
Jake|  Uh... Okay, dude.
Finn|  Princess! Princess, no! You shouldn't be out of bed!  Princess... I... I gotta tell ya somethin'. Uh... Jake... 
Jake|  Oh. Gotcha. I'll go get some tea! 
Finn|  Princess... this sweater you made me kept me safe. I almost got super messed up, but... it saved me. And I wanted to say... thank you for imbuing this sweater with the power of liking someone a lot. Because... I like you a lot.   Haha, uh... We shouldn't talk about this now. You should rest.
Princess Bubblegum|   Finn... I need you to get me some things...
Finn|  Yes, Princess.
Peppermint Butler|   Princess! I brought you some tea—
Jake|  Whoa...  Uh... somethin' weird's goin' on...
Finn|   Jake!
Jake|   AH!
Finn|  I'm gonna get some stuff for PB. Be right back.
Jake|   Hey... Princess... Sorry you're not feelin' good. .] Oh! I'll sing you a song! You love it when I sing songs!
Jake|  Uh...  Uh, this song's not that good. It's a bad one. I... I'm stoppin'.  ...And starting a new song!   AAH... 
Princess Bubblegum|   Jake...
Jake|  AAAAAAAAAAHHHH!!!!!  OH, MY GLOB, OH, MY GLOB, OH, MY GLOB, OH, MY GLOB!!  Maybe the toxic waste did somethin' to her brain—made her have demon powers—or somethin’!  Yo, dude! Wait! What's all that biz?!
Finn|  Uh, bleach, lighter fluid, ammonia, gasoline, I dunno. Lady stuff. Plutonium...
Jake|  No, man... no... No, no, no, no, no, no, no, no, no!
Princess Bubblegum|   Thanks. 
Finn|  No probs!
Jake|  Wait! Hold on!
Finn|  What's up?
Jake|  Listen... PB's bed was on fire.
Finn|  What?! Is she okay?!
Jake|   She made it on fire.
Finn|  With a match?
Jake|  No, man. With her brain... I think...  Look, man, I'll show you!
Finn|  Jake, wh—
Jake|  Shh!!  P-P-P-Princess...?
Finn|   Over there!  PB? You in there?
Princess Bubblegum|   I'm busy!
Finn|  See? It's fine. She's just havin' private time.
Jake|  I'm lookin' in! 
Finn|  JAKE, WHAT THE HEY?!
Jake|  Oh, my gloob!
Finn|   Come on, man, that's pervy!
Jake|  You don't even know, man.
Finn|  DUDE?!
Jake|  Look!  See it!
Finn|  Hold on, Peebles!  PRINCESS!  AAH! PUT DOWN THE TUB!
Gumball Guardian|  Evil presence detected!!  Must defend!!
Ice King|   Hey, Finn, are you dead or what?
Finn|   Whaaah?... Ice King? What are you doing here?
Ice King|  Hey. I had to keep an eye on the princess because she's being possessed by the Lich.
Finn|   You don't know that.
Ice King|  But I do. I saw it with my wizard eyes!  In the well, I saw something come out of the Lich and go into the princess. But I wasn't sure it was real  because when you have stanky old wizard eyes, sometimes you see things that are real, and other times it's like crazy crazy crazy in your face all the time!   All the time...  Guys, let me help you. I don't want my future wife to be... physically unattractive.
Finn|  Listen, you old poot. I'm not going to let you kill 'er twice. GET STUFFED. Come on, Jake.
Finn|  We're coming, Princess!
Jake|  Dude! I think we should let the Ice King help! He can freeze her, which could buy us some t—
Finn|  Dump that mess! I'mma set 'er free with my like-like sweater!
Jake|  Woooh, do it! 
Finn|  I like you, Princess!!
Jake|  Finn!!
Finn|  Urrgh...  Liking her... didn't work. She's unstoppable... unless...   Ice King, I... I need you to freeze Princess Bubblegum. Will you help me?
Ice King|   Are you suuuuure?
Finn|   Yes.
Ice King|  Great! Weeee! 
Finn|  I'll distract 'er up top, you freeze 'er legs!
Ice King|   Wah!
Finn|  I'M A CAT! I'M AN AGILE CAT! JAKE! DUCK!  MEOW, ICE KING!  Thanks, bird!
Ice King|  Yeah! Whoopie!
Finn|  You did good, Ice King.
Ice King|  Oh, yeah?
Finn|  Yeah, man.
Ice King|  Okay. I didn't kill 'er this time. Everybody saw that, right?
Gumball Guardian|   Duuuude...
Finn|  We gotta get 'er to the hospital!
Dr. Ice Cream|  Start assembling! Here, try to connect these two pieces!  Turn it...  Perfect.  Give me more pieces, Doctor Princess!
Dr. Princess|  That's all we have, Dr. Ice Cream!
Dr. Ice Cream|  What?! That can't be!
Nurse Pound Cake|   What do we do, Doctor?
Dr. Ice Cream|   ...I don't know, Nurse Pound Cake.
Finn|  I hope she's okay...
Nurse Pound Cake|  Attention, everyone...
Finn|   IS PB OKAY?!?
Nurse Pound Cake|  Yes... but there were some complications.
Finn|  NOOOOOOO!!!!
Nurse Pound Cake|  Yes... I'm afraid... there wasn't enough gum to work with, so it appears Princess Bubblegum is now...... younger.  She's 13 years old now.
Ice King|  Aw, dang it! Well, I'm outta here. Goodbye, everyone. 
Finn|  13 years old? That's how old I am.  Uh...
Jake|   Whoa...
Princess Bubblegum|   Give me a hug, hero.
One-eyed Koala| Yam! Yam!
Two other Koalas| Nyam.
One-eyed Koala| Yam.
Martin|  That's right, you silly guards. Stay distracted, talking to each other.
Martin| And when you least expect it, old Martin is gonna steal those gold helmets off your heads and use them for betting on lard fights. The very thing that got me imprisoned here in the first place.
Guard 1|  It's not as bad as you—
Guard 3| Hey, you two mugs, be on the lookout for rebels.
Martin| Whoa! Nice. Time to enact my genius plan. 
Large prisoner| Huh?! 
Guard 3| Huh?!
Martin| Here comes the rascal!  Whoa! 
Martin| Whoa! 
One-eyed Koala| Nyam.
Small Koala| Nyam.
Martin| Hey.
Martin| This is your rebel village? I am honored.  Uh, say, you dudes hungry? I'm a little peckish.
Small Koala| Nyam, nyam?
Martin| What's a fella got to do, right?
Martin| Hey, wait a sec. Whoa! 
Flame Messenger| Whoo-hoo!
Flame Princess| Next.
Flame Person| Oh, Your Highness, can you help my poor child? His hair is starting to go, and we can't afford flame care and... 
Flame Princess| Take this fortifier. It should last you through the cold season. 
Flame Person| Oh, Glob bless thy soul! 
Ursula| More tea, Your Highness?
Flame Princess|  Thank you.
Ursula| Mm-hmm.
Flame Princess| Who's next?
Flame Person| Hi, um, my microwave seems to be broken, and—  aah!
Flame Lord|  Flame Princess!
Flame Princess| Don John—the Flame Lord!
Don John| I fear you're not evil enough to rule the kingdom.
Flame Princess| Excuse me? How dare you!   What?
Flame Princess| You've been poisoning me. How could you, Ursula? Guards!
Flame Princess| Huh?
Flame King|  Oh, here he comes!
Flame Princess| No!
Flame King|  Yes! Playtime's over, honey. Time to give Daddy his throne back.  I've secretly arranged to make Don John my vizier and give him my daughter's hand in marriage.
Flame Lord| Uh, yeah, I know.
Flame King| Ha-ha!
Flame Lord| Hwah!
Flame King|  Man, you're looking shredded.
Flame Lord| My gym is dark magic, and my protein shake is rage.
Flame King| Okay, okay. 
Flame King| Splendid work, Don John.
Flame Lord| No big D, bro.
Flame King| Heavens to Betsy!
Flame Princess| Cinnamon Bun!
Flame King| Don't let them escape!
Flame Lord| Come here, girl. We're getting hitched!
Cinnamon Bun| No!  Go away!
Flame Princess| I can't leave. I have to fight for my kingdom!
Cinnamon Bun| No. Fight later. Now we get help.
Flame King| Huh? Aah! 
Flame Lord| Hwah! 
Flame King| Why did I jump?
Flame Princess| Thanks, CB.
Cinnamon Bun|  You're welcome. How are you feeling?
Flame Princess| A little better, I think.
Cinnamon Bun| Who should we go to for help? Princess Bubblegum?
Both| Nah.
Flame Princess| I don't trust her.
Cinnamon Bun| Yeah, she's devious.
Flame Princess| Well, I've seen Finn battle huge monsters and even armies, and we need somebody who can fight... CB, take me to Finn.
Cinnamon Bun| Mmm, okay.
Finn| Waah!
Flame Princess| Finn!
Finn| Um...  hey. Uh, Jake isn't here. He's sleeping over at Lady Rainicorn's maybe.
Flame Princess| Finn, I've been slowly poisoned by my treacherous handmaiden. Now my powers are weakened, and—and the Flame Lord has freed my father and threatened to marry me. But I escaped with CB.
Finn| Oh, what?! I'll help you. I'll do anything for you.
Flame Princess| Listen, Finn, this doesn't mean we're getting back together. We're all business.
Finn| Mm-hmm. Of course.
Cinnamon Bun| Yeah, business.
Flame Princess|  I'm feeling exhausted. Where can I freshen up?
Finn|  Girls' bathroom is over there. Also, it's the boys' bathroom.
Flame Princess| Oh, thanks. 
Finn| So, what do you think, CB? You think I still have a shot with her, right?
Cinnamon Bun|  No.
Finn| Does she ever talk about me? Is she seeing anybody?
Cinnamon Bun| No and no.
Finn|" ""No and no,"" she does talk about me, or ""no and no,"" she isn't seeing anybody?"
Flame Princess| Alright, guys, let's wolf.
Finn| So... your Fire Wolf can fly.
Cinnamon Bun| Yep. I taught him.
Finn| Hmm.  Whoa! You've cooled down a lot.
Flame Princess| No funny stuff.
Finn| Things have been going great for me lately. Been hanging out with my boys. I got a cursed sword arm now, so that's new. Yeah, I've been exercising a lot and taking some piano lessons—trying to improve myself. Not dating anybody or anything, just getting a little me time, being the best Finn I can be. 
Cinnamon Bun|  Hyup! 
Finn| Oh, no!
Finn| I hid my flameproof suit behind these rocks... just in case, whatever, you know?
Cinnamon Bun|  So, the guards are posted here and here, so we should probably sneak in here. 
Finn| Suited! 
Cinnamon Bun| Uh...
Finn| Remember my fire suit? Hey, CB, you did a great job getting us here and everything,  but I got this, all right?
Finn| I got a sword arm, so—
Cinnamon Bun| Yeah, you said that.
Finn| Watch this.  Hey, guards! Come at me at the same time!
Flame Princess|  What are you doing?!
Finn| Let's go, Princess! 
Cinnamon Bun| But that wasn't the plan! No!
Finn| Ha-ha!
Flame Guard|  It's the princess.
Flame Guards| Capture them!
Finn|  Ahhhhhh—
Flame Princess| No, Finn, don't hurt them! They're entranced!
Finn|  Oh, right.  Oh, no.
Flame Guards| Captured.
Cinnamon Bun|   Hyah! Um...  
Finn| There's CB!
Flame Guard| Get that bun!
Cinnamon Bun| Could you move, please?
Flame Guard| Whoo, get him, boys! We're taking these two away.
Finn| Don't worry, FP, your boy Finn won't fail you.
Flame Guard|  Put up your dukes. You have permission to leave when you out-duke us.
Cinnamon Bun| Okay.
Flame Guards| Duke! Duke! Duke!
Cinnamon Bun| Duke! Uh, duke!  These two are out-duked! Now I'm making my escape. 
Finn| Trust me. It'll be fine.
Flame Lord| For soon you shall be mine.  If you've forgotten, I'm reminding you now.
Flame Princess| Never!
Finn| Yeah! It's because you secretly still have feelings for me.
Flame Princess| No!
Finn|  Hmm.
Flame Princess|  I can never marry you, because I don't even know you, much less like you, and forcing me to marry you is gross.
Flame King| Whoo! Whoo! Man, I love staring out over things. Whoo!  It's so good to be king.
Flame Lord| You said she'd do whatever you told her.
Flame King| Umm, okay...
Flame Lord| But she refuses to marry me. She's her own woman, you liar!
Flame King| Liar? You want to fight me?
Flame Lord| Aye—fistfight. 
Flame King| Yes... I'll fistfight you. Come on! 
Flame Lord| You hit me? Felt good! 
Flame King| Oof! I love fistfighting.  You dirty bread breaker. 
Flame Lord| Aah! 
Flame Lord| Put them down.  Put your dukes down.
Flame King| No! 
Finn & Flame Princess| Whaa?
Finn & Flame Princess| We're saved!
Cinnamon Bun| Hi.  Got a key.
Flame Lord| Fight! 
Flame King| Fight! 
Cinnamon Bun| They're distracted. Let's go!
Flame King|  Leg press!
Flame Lord|  Stamina... failing.
Flame Lord| Cheater!
Cinnamon Bun| Onward, Jake 2!
Cinnamon Bun| Aah!
Flame Princess| CB, are you okay?
Flame Lord|  
Female Flame Person| Huh? What happened?
Male Flame Person| Should—should we keep attacking?
Cinnamon Bun| Stop! You were all brainwashed... by him! 
Flame King| Uh-oh.
Female Flame Person| Hey, I don't like that guy!
Male Flame Person| Yeah, let's get him!
Cinnamon Bun| Capture him!
Flame King| It wasn't me. It was Don John!  Aah!
Flame Princess|  
Flame Lord| Huh?  Oh... 
Flame Lord| Aah!
Flame King| Have you all gone dumb from Don John's magic? I mean, how do you expect this softy to rule you? She's even weaker than before from being poisoned. Look!
Flame Princess| Oh, come on.
Cinnamon Bun| You're wrong. Flame Princess may not be the most ruthless of all despots, but she is strong where it really counts—in her heart. And that is good.
Cinnamon Bun| I have learned so much watching this beautiful woman work, and with her example, I have become a better man. I will be by her side as her champion and knight every step of the way because... I love her.
Flame Princess| Thank you.
Flame Person| Aw, how sweet!
Finn| Jeez. Did I just get shown up by Cinnamon Bun?
Finn|   Stunts!  Hi-ya!  Yeah!
Jake|  Yo, Finn, look what I found!  A vertical trampoline! It's sticky!
Finn|  Dude, it's a spider web.
Jake|  Ohh. Well, cut me out, yo!
Finn|  No way, I'll stunt you out! Whoah!  ...I was thinking something else would happen.
Jake|  You got anything sharp?
Finn|  The only sharp thing I had was my fingernails, but you made me cut them.
Jake|  They were too long, Finn.
Jake|  Augh! You broke the skin, dude!
Finn|  I guess my fingernails are really loaaeaeuAAAAHH--! 
Finn|  Oh, yeah. Sorry.
Jake|  It's cool, man.
Finn|  Can you... stretch us out of here?
Jake|  I'm gonna take a nap while you grow out your fingernails. We'll make our escape when I wake up.
Bug|  You'll never escape!  We'll all die in the web.
Fly|  That's the circle of life.
Finn|  That's not a circle. That's, like, a straight line.
Bug|  We don't make the rules, man.
Finn|  Well, don't just give up.
Bug and Fly in unison|  The spiders are back!
Fly|  Try to stay calm. Greet your fate with dignity.
Finn|  We gotta go, Jake! Jake!
Barb|  So what? You're not talking to me now?
Ed|  No, I'm just tired of setting traps all day, solo-style.
Barb|  Why are you mad?
Ed|  I just said I was tired.
Barb|  But you're acting like you're mad.
Ed|  I'm not mad. Oh, look, food... that I caught... in my web... for us.
Barb|  I spin webs, too, Ed.
Ed|  Yeah, I know.
Barb|  I try just as hard as you.
Ed|  Well, go ahead then. Wrap them up for laters.  What's wrong, Barb?
Finn|  What's going on there, Jake? 
Barb|  I can't! You think I'm gross when I spin my web!
Ed|  What?
Barb|  I can see it on your face! Tell me that you don't!
Ed|  Uhh... I uh... You tell me, you don't find me gross!
Barb|  Oh, get stuffed, Ed! 
Finn|  You guys are sad.  Ugh! What is that sound? Sick, dude! She makes that sound, too?
Ed|  Yeah, I guess, but she never does it in front of me.  Anyway, it's not gross when guys do it.
Finn|  Dude, that's not cool. You need to think about what you say and how that affects your lady.
Ed|  How about how she affects me? I love her, man.
Jake|   Oh, snap, how long was I out?
Ed|  Can someone tell me why we fight, why she treats me like all I do is make her feel bad? Tell me, Glob, why don't you ever answer me!?
Bug|  It's hard to step outside of yourself when you're enmeshed with another being. . Oh, Grod! It's over! It's over!!
Finn|  Wait!
Ed|  What?
Finn|  Umm...  Right now, we gotta real-talk about your girlfriend.
Ed|  I don't real-talk with my food.
Finn|  Uhh...  We real-talk now, or you're going to be as single as your stinky web squirter!
Ed|  Yeah, right. You just wanna get out of my web. All you ever want to do is escape! You're always, like, in cahoots, makin' plans not to be food.
Finn|  I'm not in cahoots!
Ed|  So okay, eat your friend here. 
Finn|   Okay.
Bug|  No, man! What?! Where's your heart?! Look inside yourself! This isn't you!
Finn|   I'm gonna fake eat you, man.
Bug|   Oh. Word.
Bug|   Noooo! Oh, my guts! My guts everywhere! Agh, how could you!
Ed|   Okay, man, you've earned my trust. So, let's do this. Real-talk me, bro! 
Finn|   Okay, first off, then, how you're going about this isn't working. Am I right?
Ed|  Ugh, yeah. It's not working. My way sucks.
Finn|   Cool, now we've gotta do damage control. Healing the negs energy at the source.
Ed|  Yes, heal the neg-jerseys in me.
Finn|   Alright, uhh...
Finn|   Go find Barb a present. That'll fix the first neg. Can you do that?
Ed|  Yeah, I can find her a present. If you think that'll help. I don't think it will, but what do I know, I'm just a big ol' dummy who does everything wrong... 
Bug|  Whee!
Finn|  You're free!  Aw, man.
Jake|  It's okay, Finn. You bought us some time.
Finn|  Yeah, think fast, what can we use?
Jake|  There's nothing! Just a bunch of nature.
Finn|  I have a dumb idea.
Ed|   Get her a present. Harumph. When was the last time she got me a present? What would she want, anyway? How do I know, we never talk. Jeez, what happened to my life? All my friends are gone. They all got kids now. I don't have kids. All I have is Barb. And she...  treats me like a--a dingus! Wha... Oh, cool! A sword!  Wow, neat!  It's magic or something! We can hang this up over our mantle and snuggle by the fire, huh, like we--like we used to! I'm gonna fix us, Barb! Fix us!
Jake|  Alright, one... two... three!
Bird 1|  Yo what?
Finn|  Shoot!
Jake|  Here comes another one. One two three!
Bird 2|  My eyes! Agh!! 
Finn|  Ha ha, yes! Finally! 
Jake|  Good job! Last chance for life. Break out!
Finn|   Yeah, you mommy!
Barb|  Hey, what's going on here! 
Finn|  Nothing.  Oh, crab apples!
Barb|  Where's Ed?
Finn|"  Oh, uh, he's getting you an ""I'm sorry"" gift."
Jake|  He feels crazy about making you cry.
Barb|  He does? Really?
Ed|  Barb! Barb!
Barb|  Ed?
Ed|  Barb, look! Damage control! Check it out! I wrapped it up and everything!
Barb|  Oh, Ed, I can't believe it!
Ed|  Yeah! Come on, open it!
Barb|  I really just, it's just so unlike you to--  What's this?
Ed|  It's a sword! I found it in the woods!
Barb|  In the woods?
Ed|  Yeah, it's magical, though. Check out the blade!
Barb|  You got this for you, Ed.
Ed|  No, I got it for us! For snuggles by the fire!
Barb|  We are never gonna snuggles until you learn to appreciate me! 
Ed|  Oh, really? Well, I guess we're never gonna eat again either 'cause I catch the food, and your butt is dysfunctional! Eeh-ya!  Go! Run away, food! We don't need you apparently! 
Bug|  Just break up, you guys!
Fly|  Do it for you!
Ed|  Now what are you gonna eat? Huh, Barb?
Barb|   I'm gonna eat you!
Finn|  Yo, that's wrong!
Barb|  Who cares!
Jake|  We're free!
Jake|  Oh, no. You got that look on your face. You going back to help that fool?
Finn|  His wife's gonna eat him!
Jake|  Spider marriage is complicated. Sometimes, you just gotta mind your own biz.
Ed|   Oh, help, somebody help me!
Jake|  Ugh... Go with Glob.
Ed|  Mercy!
Barb|  You little twerp! Are you stupid or something?
Finn|  Yeah, I'm stupid. But I know something real. You shouldn't eat your husband!
Jake|   Yo, smoothin' things out?
Finn|  Not exactly...
Ed|   Barb! Barb! What's wrong, my love?  Okay ...
Finn|  What is happening!?
Jake|  Something we're not supposed to see.
Barb|  Oh, Ed. We're parents!
Finn|  Aw, sick!
Ed|  I think there's hope for us, Barb.
Barb|  We can make a new start, as a family. 
Jake|  Nice.
Finn|  Think they're gonna make it?
Jake|  Love like theirs will always find a way. It'll crawl all up over you and drain your body fluids, poisoning you slowly until you pass out.  Circle of life, Finn... circle of life.
Root Beer Guy| Fearlessly, Captain Root Beer Guy charges across the battlefield. The ancient sleeper raises his power staff to attack. With one lever pull, Captain Root Beer Guy saves the...
Cherry Cream Soda| Root Beer Guy!
Cherry Cream Soda| One day at a time.
Cherry Cream Soda| Okay, Loafy, just a second.
Chery Cream Soda|  Hmm?
Chery Cream Soda| Hello?
Chery Cream Soda| Root Beer Guy?
Starchy| Nope. Starchy. You do this every morning.
Chery Cream Soda| I know. I'm sorry, honey. I'm trying, but I can't stop thinking about him.
Starchy| Look, we've been married two months already. I love you, baby, but isn't there an expiration date to this grieving thing?
Chery Cream Soda| I don't think it works that way.
Chery Cream Soda| Starchy, dear, could you feed the cat later? I've got to prep a witness tonight.
Starchy| Anything for my Chery Cream Soda and her sweet, little kitty cat.  Oh! I'll win your heart someday, Loafy. We can't all be a cute, little character with a cure, little straw sticking out of our cute, little head.But take some advice from an old grave digger, huh? Maybe it's time to do something with that. Here a thought... I could bury this for you. An unmarked grave kind of thing. Just... sswt!... Toss him in there with whoever.
Chery Cream Soda| Well, that's... that seems macabre. But sweet. I'll think about it.
Starchy| Okay, okay.  See you tonight.
Chery Cream Soda| Looks like it's gonna rain. Don't forget your umbrella, Starchy.
Starchy| Ooh, thanks. Maybe I'll take my hoe in case things set sloppy. Well, bye again.
Chery Cream Soda| Bye.
Princess Bubblegum| You two are married.
Chery Cream Soda| Good bye, Root Beer Guy
Chery Cream Soda| Good Morning, husband.
Starchy| Good morning, wife.
Chery Cream Soda| Shaving your 'stache?
Starchy| Uh-huh.
Chery Cream Soda| Aaaaahhhh! Starchy! What? What?
Starchy| Blazes mazes! What is going on?
Chery Cream Soda| I saw him. He was right outside.
Starchy| Who? Finn? Jake? Candy person number 22?
Chery Cream Soda| Maybe I can still catch him...
Dirt Beer Guy| Hi, sweetie. I was dead, but I came back to life. That was really something. Hmm.
Starchy| It's okay, baby. Starchy's here.
Chery Cream Soda| Oh, thank heavens. It was just another hallucina-a-tion.
Dirt Beer Guy| Honey, I'm fairly upset that you remarried.
Chery Cream Soda| But how is ths possible? You were zapped by Darren, the ancient sleeper. Your dome was cracked. Your root beer soaked into the ground. I buried you remains in a mason jar, which is now your head. And... and... and now I'm with Starchy. I mean we're... we're legally married. You're legally dead. Not that I want to sound obsessed with legalities, but I am a lawyer.
Dirt Beer Guy|" Hey, where's that little statue I got you? It said,""I wuv you,"" on the base of it. It was a little bear with his arms out like this."
Dirt Beer Guy|" He was all, ""I wuv you, I wuv you, I wuv you."""
Starchy| No sudden moves, baby. He's got freaky zombie strength.
Dirt Beer Guy|" Maybe it's up here.  Did you hire a maid service or something while I was gone? I sure hope they didn't throw out the ""I wuv you"" bear."
Starchy| Enough! I should have put you in the ground a long time ago!
